,numExp,stick1,stick2,judge,agentBias,nSticks,p_isLong_1,p_isLong_2,delta
479,239,0.9,0.2,J1,5.0,5.0,0.6387229213954583,0.6839020529374495,0.04517913154199127
480,240,0.9,0.2,J0,10.0,3.0,0.809667673716012,0.65,-0.15966767371601198
481,240,0.9,0.2,J1,10.0,3.0,0.7611295751510175,0.7902739437850834,0.029144368634065887
482,241,0.9,0.2,J0,10.0,4.0,0.755656108597285,0.6106489184692179,-0.14500719012806718
483,241,0.9,0.2,J1,10.0,4.0,0.6770533669614787,0.7390291829716269,0.06197581601014823
484,242,0.9,0.2,J0,10.0,5.0,0.7177114215983365,0.5938805970149259,-0.12383082458341055
485,242,0.9,0.2,J1,10.0,5.0,0.6251030905655667,0.7334292849497532,0.10832619438418656
486,243,0.9,0.3,J0,2.0,3.0,0.809667673716012,0.7,-0.10966767371601205
487,243,0.9,0.3,J1,2.0,3.0,0.7481913754569883,0.8396373922322902,0.09144601677530184
488,244,0.9,0.3,J0,2.0,4.0,0.755656108597285,0.6838602329450912,-0.07179587565219381
489,244,0.9,0.3,J1,2.0,4.0,0.7073792029140026,0.7876905059327934,0.08031130301879086
490,245,0.9,0.3,J0,2.0,5.0,0.7177114215983365,0.644129353233831,-0.07358206836450543
491,245,0.9,0.3,J1,2.0,5.0,0.685463823652536,0.7318167286333921,0.04635290498085609
492,246,0.9,0.3,J0,5.0,3.0,0.809667673716012,0.7,-0.10966767371601205
