numExp,nSticks,stick1,stick2,p_isLong_1_L0,p_isLong_2_L0,p_isLong_1_L1,p_isLong_2_L1,isWEE,WEE
134,4,0.675,0.275,0.6315789473684207,0.47712418300653575,0.31156755695521976,0.4442792440766516,True,0.28716645148331676
135,4,0.675,0.225,0.6315789473684207,0.4379084967320261,0.31156755695521976,0.32568494425982464,True,0.20778783794099948
136,4,0.675,0.175,0.6315789473684207,0.39869281045751626,0.31156755695521976,0.2271403625442074,False,0.0
137,4,0.675,0.125,0.6315789473684207,0.35947712418300637,0.31156755695521976,0.16341256826362954,False,0.0
138,4,0.675,0.075,0.6315789473684207,0.3137254901960784,0.31156755695521976,0.11256396749341073,False,0.0
139,4,0.675,0.025,0.6315789473684207,0.2745098039215687,0.31156755695521976,0.08436403591771001,False,0.0
140,4,0.725,0.475,0.6635706914344685,0.6797385620915033,0.40448693655350976,0.9797436662582564,False,0.0
141,4,0.725,0.425,0.6635706914344685,0.6470588235294121,0.40448693655350976,0.9571311185618288,True,0.5691560499133753
142,4,0.725,0.375,0.6635706914344685,0.6078431372549022,0.40448693655350976,0.8952259862835675,True,0.546466603909624
143,4,0.725,0.325,0.6635706914344685,0.5686274509803922,0.40448693655350976,0.7636887208409601,True,0.4541450247415265
144,4,0.725,0.275,0.6635706914344685,0.5294117647058824,0.40448693655350976,0.6138206201781871,True,0.3434926103532634
145,4,0.725,0.225,0.6635706914344685,0.47712418300653575,0.40448693655350976,0.4348281633103209,True,0.21678773518474387
146,4,0.725,0.175,0.6635706914344685,0.4379084967320261,0.40448693655350976,0.3275133861514198,False,0.0
147,4,0.725,0.125,0.6635706914344685,0.39869281045751626,0.40448693655350976,0.2374686870346573,False,0.0
148,4,0.725,0.075,0.6635706914344685,0.3529411764705882,0.40448693655350976,0.17302461263915095,False,0.0
149,4,0.725,0.025,0.6635706914344685,0.30718954248366015,0.40448693655350976,0.12461459028920464,False,0.0
150,4,0.775,0.475,0.6955624355005163,0.7124183006535947,0.4986529314770853,0.9906268953862368,False,0.0
151,4,0.775,0.425,0.6955624355005163,0.6797385620915033,0.4986529314770853,0.9785813000385004,True,0.49575224197042816
152,4,0.775,0.375,0.6955624355005163,0.6405228758169935,0.4986529314770853,0.932228337362342,True,0.48861496556877954
153,4,0.775,0.325,0.6955624355005163,0.6078431372549022,0.4986529314770853,0.8640243408546722,True,0.453090707623201
154,4,0.775,0.275,0.6955624355005163,0.5686274509803922,0.4986529314770853,0.7236435262595345,True,0.35192557930257334
155,4,0.775,0.225,0.6955624355005163,0.5294117647058824,0.4986529314770853,0.5843427324828151,True,0.2518404718003638
156,4,0.775,0.175,0.6955624355005163,0.47712418300653575,0.4986529314770853,0.428992359795948,False,0.0
157,4,0.775,0.125,0.6955624355005163,0.4379084967320261,0.4986529314770853,0.33200650914964525,False,0.0
158,4,0.775,0.075,0.6955624355005163,0.3921568627450978,0.4986529314770853,0.24542955574406305,False,0.0
159,4,0.775,0.025,0.6955624355005163,0.34640522875816987,0.4986529314770853,0.186859799161219,False,0.0
160,4,0.825,0.475,0.7192982456140354,0.7189542483660132,0.5619162682876266,0.9884906765279886,True,0.4269184054883842
161,4,0.825,0.425,0.7192982456140354,0.7058823529411764,0.5619162682876266,0.9838613680111544,True,0.4353609923963868
