numExp,agentBias,biasPrior,sampleMean,MAP_stick1_S1,MAP_stick2_S1,MAP_stick1_S2,MAP_stick2_S2,optProb_S1,optProb_S2,isOptMAP_S1,isOptMAP_S2
223,2.0,v,0.635,0.975,0.675,0.975,0.725,0.09000000000000002,0.13,False,True
224,5.0,flat,0.625,0.875,0.825,0.875,0.825,0.21,0.33,True,True
225,5.0,v,0.385,0.825,0.725,0.825,0.725,0.57,0.44,True,True
226,10.0,flat,0.36500000000000005,0.775,0.375,0.375,0.775,0.56,0.12,True,False
227,10.0,v,0.5050000000000001,0.925,0.825,0.925,0.825,0.46,0.83,True,True
228,2.0,flat,0.385,0.925,0.575,0.925,0.575,0.19,0.14,True,True
229,2.0,v,0.475,0.625,0.575,0.475,0.625,0.14,0.07,True,False
230,5.0,flat,0.545,0.875,0.775,0.875,0.775,0.24,0.29999999999999993,True,True
231,5.0,v,0.615,0.975,0.925,0.975,0.925,0.25,0.36,True,True
232,10.0,flat,0.40499999999999997,0.775,0.675,0.775,0.675,0.64,0.47,True,True
233,10.0,v,0.515,0.875,0.675,0.875,0.675,0.41,0.66,True,True
234,2.0,flat,0.395,0.575,0.625,0.575,0.625,0.11,0.06,False,False
235,2.0,v,0.395,0.875,0.575,0.575,0.875,0.29999999999999993,0.15,True,False
236,5.0,flat,0.265,0.625,0.375,0.375,0.625,0.37,0.07,True,False
237,5.0,v,0.585,0.825,0.925,0.925,0.825,0.2,0.32,False,True
238,10.0,flat,0.625,0.925,0.875,0.925,0.875,0.37,0.56,True,True
239,10.0,v,0.34500000000000003,0.875,0.325,0.325,0.875,0.58,0.06,True,False
240,2.0,flat,0.655,0.975,0.525,0.975,0.525,0.10000000000000002,0.07,False,False
241,2.0,v,0.525,0.625,0.775,0.425,0.625,0.09000000000000002,0.05,False,False
242,5.0,flat,0.46499999999999997,0.775,0.525,0.425,0.525,0.36,0.10000000000000002,True,False
243,5.0,v,0.7849999999999999,0.825,0.875,0.925,0.875,0.13,0.2,False,True
244,10.0,flat,0.725,0.925,0.825,0.925,0.825,0.27,0.39,True,True
245,10.0,v,0.525,0.925,0.775,0.925,0.775,0.4199999999999999,0.8,True,True
246,2.0,flat,0.625,0.875,0.925,0.925,0.875,0.09000000000000002,0.14,False,True
247,2.0,v,0.45499999999999996,0.975,0.525,0.975,0.575,0.13,0.17999999999999994,False,True
248,5.0,flat,0.6649999999999999,0.975,0.925,0.975,0.925,0.24,0.28,True,True
249,5.0,v,0.6050000000000001,0.875,0.925,0.875,0.925,0.24,0.24,False,False
250,10.0,flat,0.6449999999999999,0.825,0.775,0.825,0.775,0.29999999999999993,0.47,True,True
251,10.0,v,0.485,0.775,0.625,0.375,0.575,0.47,0.10000000000000002,True,False
252,2.0,flat,0.465,0.875,0.775,0.775,0.875,0.24,0.14,True,False
253,2.0,v,0.475,0.875,0.675,0.875,0.675,0.13,0.12,True,True
254,5.0,flat,0.575,0.975,0.875,0.975,0.875,0.29,0.37,True,True
255,5.0,v,0.615,0.875,0.825,0.875,0.825,0.17,0.36,True,True
256,10.0,flat,0.645,0.975,0.875,0.975,0.875,0.3400000000000001,0.47,True,True
257,10.0,v,0.48500000000000004,0.975,0.675,0.975,0.675,0.68,0.86,True,True
258,2.0,flat,0.465,0.525,0.975,0.975,0.275,0.17999999999999994,0.10000000000000002,False,False
259,2.0,v,0.515,0.775,0.825,0.825,0.775,0.15999999999999998,0.2,False,True
260,5.0,flat,0.745,0.975,0.725,0.975,0.775,0.09000000000000002,0.17999999999999994,False,False
261,5.0,v,0.5050000000000001,0.875,0.675,0.875,0.675,0.35,0.27,True,True
262,10.0,flat,0.305,0.575,0.425,0.425,0.575,0.66,0.07,True,False
263,10.0,v,0.575,0.775,0.725,0.325,0.475,0.36,0.10000000000000002,True,False
264,2.0,flat,0.515,0.875,0.825,0.875,0.825,0.13,0.15,True,True
265,2.0,v,0.635,0.875,0.775,0.775,0.875,0.12,0.11,True,False
266,5.0,flat,0.495,0.725,0.625,0.625,0.725,0.26,0.10000000000000002,True,False
267,5.0,v,0.365,0.625,0.475,0.375,0.475,0.27,0.020000000000000004,True,False
268,10.0,flat,0.7649999999999999,0.975,0.875,0.975,0.825,0.29999999999999993,0.28,True,False
269,10.0,v,0.605,0.975,0.825,0.975,0.825,0.37,0.82,True,True
270,2.0,flat,0.5650000000000001,0.875,0.925,0.925,0.875,0.13,0.17999999999999994,False,True
271,2.0,v,0.465,0.475,0.975,0.975,0.425,0.13,0.09000000000000002,False,False
272,5.0,flat,0.595,0.825,0.775,0.825,0.775,0.25,0.21,True,True
273,5.0,v,0.705,0.975,0.925,0.975,0.825,0.2,0.17,True,False
274,10.0,flat,0.365,0.675,0.525,0.375,0.525,0.71,0.040000000000000015,True,False
275,10.0,v,0.36500000000000005,0.925,0.525,0.925,0.525,0.87,0.72,True,True
276,2.0,flat,0.445,0.425,0.825,0.325,0.425,0.11,0.06,False,False
277,2.0,v,0.33499999999999996,0.425,0.775,0.225,0.775,0.17999999999999994,0.029999999999999995,False,False
278,5.0,flat,0.315,0.725,0.425,0.425,0.725,0.5,0.040000000000000015,True,False
279,5.0,v,0.5650000000000001,0.925,0.675,0.925,0.725,0.14,0.32,False,True
280,10.0,flat,0.41500000000000004,0.825,0.725,0.825,0.725,0.62,0.6,True,True
281,10.0,v,0.43500000000000005,0.725,0.525,0.375,0.525,0.5,0.0,True,False
